20270
+Vehicle assignments
car0;z16
car1;z19
car2;z10
car3;z0
car4;z21
car5;z19
car6;z8
car7;z22
car8;z5
car9;z11
car10;z2
car11;z17
car12;z20
car13;z6
+Assigned requests
req87;car9
req59;car3
req21;car5
req0;car2
req5;car5
req50;car10
req13;car6
req79;car10
req32;car11
req69;car8
req81;car7
req82;car10
req48;car3
req84;car0
req3;car13
req91;car4
req68;car1
req23;car11
req88;car3
req2;car6
req30;car11
req44;car2
req51;car8
req97;car1
req71;car9
req16;car7
req24;car13
req46;car2
req77;car13
req55;car0
req33;car11
req6;car8
req75;car6
req42;car4
req22;car13
req9;car0
req70;car12
req17;car12
req10;car12
+Unassigned requests
req34
req95
req36
req8
req61
req83
req99
req57
req66
req76
req92
req53
req4
req86
req94
req63
req29
req64
req40
req26
req14
req45
req85
req27
req38
req43
req1
req11
req25
req31
req89
req12
req47
req80
req96
req35
req15
req65
req54
req73
req98
req20
req19
req52
req60
req78
req58
req7
req41
req56
req72
req49
req18
req28
req37
req39
req62
req90
req74
req93
req67
