26720
+Vehicle assignments
car0;z3
car1;z17
car2;z21
car3;z6
car4;z19
car5;z2
car6;z19
car7;z16
car8;z23
car9;z11
car10;z7
car11;z6
car12;z18
car13;z10
+Assigned requests
req43;car8
req89;car10
req87;car9
req71;car9
req20;car3
req76;car3
req0;car13
req22;car11
req24;car11
req91;car2
req68;car6
req36;car7
req30;car1
req23;car1
req5;car4
req50;car5
req78;car0
req61;car12
+Unassigned requests
req93
req38
req99
req70
req98
req60
req77
req62
req6
req59
req29
req48
req46
req81
req54
req65
req10
req66
req73
req96
req7
req4
req72
req9
req25
req86
req28
req31
req47
req42
req90
req41
req92
req85
req80
req2
req94
req57
req15
req95
req74
req44
req82
req69
req18
req21
req75
req3
req52
req1
req83
req63
req12
req97
req84
req14
req53
req39
req32
req35
req40
req34
req51
req37
req27
req88
req13
req49
req17
req56
req79
req19
req8
req45
req58
req55
req16
req33
req67
req26
req11
req64

