15860
+Vehicle assignments
car0;z21
car1;z12
car2;z10
car3;z3
car4;z19
car5;z22
car6;z4
car7;z0
car8;z16
car9;z5
car10;z9
car11;z17
car12;z20
car13;z6
+Assigned requests
req9;car8
req55;car8
req54;car8
req36;car8
req74;car8
req84;car8
req45;car1
req64;car1
req44;car2
req46;car2
req38;car7
req0;car2
req88;car7
req1;car7
req59;car7
req11;car10
req40;car10
req73;car10
req4;car10
req98;car12
req22;car13
req37;car0
req25;car6
req16;car5
req77;car13
req81;car5
req70;car12
req6;car9
req30;car11
req78;car3
req57;car6
req5;car4
req31;car0
req49;car4
req95;car6
req69;car9
req32;car11
req92;car3
req42;car0
req97;car4
req23;car11
req33;car11
req68;car4
req72;car12
req27;car9
req26;car6
req3;car13
req17;car12
req66;car3
req24;car13
+Unassigned requests
req86
req67
req94
req51
req14
req71
req8
req28
req18
req48
req91
req99
req76
req83
req41
req52
req50
req79
req93
req21
req56
req12
req89
req82
req63
req62
req65
req35
req13
req80
req39
req85
req90
req96
req75
req19
req2
req58
req10
req87
req61
req29
req60
req20
req43
req15
req34
req47
req53
req7
