17200
+Vehicle assignments
car0;z23
car1;z6
car2;z0
car3;z3
car4;z20
car5;z19
car6;z21
car7;z17
car8;z16
car9;z15
car10;z9
car11;z5
car12;z10
car13;z8
+Assigned requests
req1;car2
req3;car1
req4;car10
req10;car4
req11;car10
req21;car5
req22;car1
req24;car1
req40;car10
req48;car2
req59;car2
req73;car10
req76;car1
req97;car5
req72;car4
req70;car4
req42;car6
req91;car6
req31;car6
req37;car6
req55;car8
req84;car8
req36;car8
req9;car8
req54;car8
req12;car7
req33;car7
req23;car7
req30;car7
req46;car12
req44;car12
req0;car12
req78;car3
req92;car3
req66;car3
req41;car9
req85;car9
req80;car9
req90;car9
req75;car13
req39;car13
req2;car13
req51;car11
req60;car11
req69;car11
req49;car5
req83;car0
req5;car5
req67;car0
+Unassigned requests
req57
req25
req32
req19
req7
req95
req99
req29
req82
req56
req68
req13
req62
req35
req74
req61
req63
req34
req17
req20
req50
req26
req53
req93
req15
req16
req45
req77
req43
req87
req38
req28
req98
req14
req6
req86
req81
req27
req79
req47
req88
req58
req52
req71
req64
req89
req65
req8
req18
req94
req96
