19040
+Vehicle assignments
car0;z17
car1;z6
car2;z4
car3;z5
car4;z22
car5;z19
car6;z21
car7;z0
car8;z20
car9;z8
car10;z9
car11;z3
car12;z9
car13;z8
+Assigned requests
req78;car11
req11;car10
req33;car0
req1;car7
req81;car4
req76;car1
req91;car6
req38;car7
req48;car7
req31;car6
req17;car8
req3;car1
req6;car3
req4;car12
req10;car8
req92;car11
req30;car0
req32;car0
req13;car9
req96;car12
req23;car0
req15;car9
req49;car5
req88;car7
req42;car6
req40;car10
req21;car5
req75;car13
req73;car10
req26;car2
req60;car3
req98;car8
req97;car5
req70;car8
req57;car2
req16;car4
req2;car13
req39;car13
+Unassigned requests
req69
req18
req68
req44
req9
req72
req66
req22
req82
req85
req36
req79
req5
req12
req71
req84
req77
req59
req37
req47
req65
req51
req80
req83
req35
req54
req20
req25
req45
req87
req64
req14
req41
req94
req50
req93
req29
req63
req43
req8
req86
req55
req95
req74
req46
req52
req27
req62
req28
req89
req0
req99
req19
req61
req24
req58
req67
req7
req56
req53
req90
req34
