26600
+Vehicle assignments
car0;z22
car1;z6
car2;z16
car3;z6
car4;z10
car5;z9
car6;z3
car7;z22
car8;z4
car9;z4
car10;z22
car11;z11
car12;z18
car13;z9
+Assigned requests
req76;car1
req22;car1
req61;car12
req29;car0
req87;car11
req71;car11
req16;car10
req18;car8
req81;car7
req84;car2
req44;car4
req46;car4
req20;car3
req24;car3
req40;car5
req25;car9
req4;car13
req92;car6
+Unassigned requests
req38
req93
req70
req98
req63
req17
req27
req86
req43
req62
req91
req37
req10
req5
req90
req42
req1
req21
req85
req80
req31
req97
req96
req49
req73
req67
req30
req23
req36
req59
req55
req69
req34
req51
req8
req7
req41
req2
req88
req65
req3
req14
req47
req48
req13
req75
req68
req94
req6
req99
req60
req52
req26
req56
req58
req32
req33
req0
req35
req53
req64
req39
req11
req95
req9
req74
req66
req54
req83
req28
req12
req45
req50
req19
req72
req77
req79
req78
req15
req82
req57
req89
